area_name,area_id,date,od21,od22,od23,od24,od25,od26,od27,od28,acquisition_time
北京_北京_北京,101010100,2023-05-30 07h,7,20.0,202.0,南风,1.0,0.4,87.0,,2023-05-30 10h:36m
北京_北京_北京,101010100,2023-05-30 08h,8,20.0,146.0,东南风,1.0,0.1,88.0,,2023-05-30 10h:36m
北京_北京_北京,101010100,2023-05-30 09h,9,21.0,268.0,西风,2.0,0.0,80.0,,2023-05-30 10h:36m
北京_北京_北京,101010100,2023-05-30 10h,10,,,,,,,,2023-05-30 17h:13m
北京_北京_北京,101010100,2023-05-30 11h,11,22.0,66.0,东北风,1.0,0.0,74.0,59.0,2023-05-30 17h:13m
北京_北京_北京,101010100,2023-05-30 12h,12,22.0,19.0,北风,1.0,0.0,69.0,57.0,2023-05-30 17h:13m
北京_北京_北京,101010100,2023-05-30 13h,13,23.0,68.0,东风,1.0,0.0,60.0,,2023-05-30 17h:13m
北京_北京_北京,101010100,2023-05-30 14h,14,23.0,48.0,东北风,1.0,0.0,61.0,48.0,2023-05-30 17h:13m
北京_北京_北京,101010100,2023-05-30 15h,15,24.0,202.0,南风,1.0,0.0,51.0,42.0,2023-05-30 17h:13m
北京_北京_北京,101010100,2023-05-30 16h,16,25.0,236.0,西南风,1.0,0.0,44.0,38.0,2023-05-30 17h:13m
北京_北京_北京,101010100,2023-05-30 17h,17,24.0,220.0,西南风,1.0,0.0,47.0,36.0,2023-05-30 22h:12m
北京_北京_北京,101010100,2023-05-30 18h,18,24.0,202.0,南风,1.0,0.0,48.0,36.0,2023-05-30 22h:12m
北京_北京_北京,101010100,2023-05-30 19h,19,23.0,130.0,东南风,1.0,0.0,52.0,40.0,2023-05-30 22h:12m
北京_北京_北京,101010100,2023-05-30 20h,20,22.0,160.0,南风,1.0,0.0,54.0,40.0,2023-05-30 22h:12m
北京_北京_北京,101010100,2023-05-30 21h,21,21.0,246.0,西南风,1.0,0.0,62.0,,2023-05-30 22h:12m
上海_上海_上海,101020100,2023-05-28 13h,13,31.0,90.0,东风,1.0,0.0,52.0,46.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 14h,14,32.0,35.0,东北风,1.0,0.0,47.0,48.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 15h,15,32.0,58.0,东北风,1.0,0.0,48.0,48.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 16h,16,31.0,46.0,东北风,1.0,0.0,51.0,46.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 17h,17,30.0,311.0,西北风,1.0,0.0,55.0,44.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 18h,18,29.0,331.0,西北风,1.0,0.0,63.0,39.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 19h,19,28.0,327.0,西北风,1.0,0.0,70.0,37.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 20h,20,27.0,357.0,北风,1.0,0.0,76.0,31.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 21h,21,26.0,270.0,西风,1.0,0.0,80.0,26.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 22h,22,25.0,5.0,北风,1.0,0.0,86.0,21.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-28 23h,23,25.0,345.0,北风,1.0,0.0,89.0,17.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 00h,0,24.0,346.0,北风,1.0,0.0,92.0,17.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 01h,1,24.0,270.0,西风,0.0,0.0,94.0,17.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 02h,2,24.0,315.0,西北风,1.0,0.0,96.0,16.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 03h,3,24.0,315.0,西北风,0.0,0.0,97.0,16.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 04h,4,23.0,74.0,东风,1.0,0.0,97.0,15.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 05h,5,23.0,69.0,东风,1.0,0.0,97.0,15.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 06h,6,24.0,45.0,东北风,1.0,0.0,96.0,17.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 07h,7,24.0,54.0,东北风,1.0,0.0,92.0,19.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 08h,8,26.0,22.0,北风,1.0,0.0,83.0,26.0,2023-05-29 14h:24m
上海_上海_上海,101020100,2023-05-29 09h,9,28.0,40.0,东北风,1.0,0.0,74.0,30.0,2023-05-29 14h:24m
